jiscode	citynamejp	citynameen	regionalname	islandname	islandkana	islandnameen	lat	long	area	coast	h27pop	h22pop	law	desinatedname	manned	delegate
44205	大分県佐伯市	Saiki, Oita	豊後諸島	大入島	おおにゅうしま	Onyushima	32.99868611	131.924558	5.65	23.2	712	853	離島振興法	豊後諸島	1	1
44205	大分県佐伯市	Saiki, Oita	豊後諸島	大島	おおしま	Oshima	32.96522875	132.0707764	1.6	11.9	114	187	離島振興法	豊後諸島	1	1
44205	大分県佐伯市	Saiki, Oita	豊後諸島	屋形島	やかたじま	Yakatajima	32.77403598	131.9161157	1.06	3	18	19	離島振興法	豊後諸島	1	1
44205	大分県佐伯市	Saiki, Oita	豊後諸島	深島	ふかしま	Fukashima	32.72074653	131.9268529	1.1	4	19	20	離島振興法	豊後諸島	1	1
44207	大分県津久見市	Tsukumi, Oita	豊後諸島	地無垢島	じむくしま	Jimukushima	33.15815056	131.9755775	0.29	3	35	62	離島振興法	豊後諸島	1	1
44207	大分県津久見市	Tsukumi, Oita	豊後諸島	保戸島	ほとじま	Hotojima	33.10538089	132.0096927	0.86	4	700	978	離島振興法	豊後諸島	1	1
44322	大分県東国東郡姫島村	Himeshima, Oita		姫島	ひめしま	Himeshima	33.72856681	131.6663121	6.98	17	1991	2189	離島振興法	姫島	1	1
45203	宮崎県延岡市	Nobeoka, Miyazaki		島野浦島	しまのうらしま	Shimanourashima	32.66470292	131.8218696	2.85	15.5	837	1018	離島振興法	島野浦島	1	1
45204	宮崎県日南市	Nichinan, Miyazaki	南那珂群島	大島	おおしま	Oshima	31.52688959	131.4107232	2.09	9.5	1	11	離島振興法	南那珂群島	1	1
45207	宮崎県串間市	Kushima, Miyazaki		築島	つきしま	Tsukishima	31.47646361	131.3899644	0.24	2.2	9	25	離島振興法	南那珂群島	1	1
46201	鹿児島県鹿児島市	Kagoshima City, Kagoshima		新島（燃島）	しんじま（もえしま）	Shinjima	31.6179964	130.7228572	0.13	2.3	0	4	離島振興法	新島	1	1
46208	鹿児島県出水市	Izumi, Kagoshima		桂島	かつらじま	Katsurajima	32.14912764	130.2652086	0.33	2.7	8	13	離島振興法	桂島	1	1
46213	鹿児島県西之表市	Nishinoomote, Kagoshima	大隅諸島	馬毛島	まげしま	Mageshima	30.74542736	130.8522433	8.17	16.5	0	11	離島振興法	種子島	0	1
46213	鹿児島県西之表市・熊毛郡中種子町・南種子町	Nishinoomote, Nakatane and Minamitane in Kagoshima	大隅諸島	種子島	たねがしま	Tanegashima	30.55580278	130.9747917	444.3	169.6	29847	31854	離島振興法	種子島	1	1
46215	鹿児島県薩摩川内市	Satsumasendai, Kagoshima	甑島列島	上甑島	かみこしきしま	Kamikoshikishima	31.84547654	129.8768574	44.2	81.1	2174	2488	離島振興法	甑島	1	1
46215	鹿児島県薩摩川内市	Satsumasendai, Kagoshima	甑島列島	中甑島	なかこしきしま	Nakakoshikishima	31.79665028	129.828515	7.28	17.4	224	308	離島振興法	甑島	1	1
46215	鹿児島県薩摩川内市	Satsumasendai, Kagoshima	甑島列島	下甑島	しもこしきしま	Shimokoshikishima	31.70633153	129.731515	65.56	84.8	2321	2780	離島振興法	甑島	1	1
46303	鹿児島県鹿児島郡三島村	Mishima, Kagoshima		黒島	くろしま	Kuroshima	30.83174389	129.9346228	15.39	20.1	190	208	離島振興法	南西諸島	1	1
46303	鹿児島県鹿児島郡三島村	Mishima, Kagoshima		竹島	たけしま	Takeshima	30.80998903	130.4210111	4.22	9.7	87	83	離島振興法	南西諸島	1	1
